String,String,String,String,String,String,int,int
name,displayName,mnemonic,dbDataSource,dbSchema,dbSp,dbSpInputLength,dbSpOutputLength
cbv_modify_mnemonic,Modify Mnemonic,CBV,DB2,POWRBCAP,CBV_CBVSPMNM,199,200
cbv_modify_rates,Modify Rates,CBV,DB2,POWRBCAP,CBV_CBVSPCBR,199,200
cbv_rate_heirarchy,Rate Hierarchy,CBV,DB2,POWRBCAP,CBV_CBVSPACT,199,200
